run_id,class_label,mean_support,mean_precision,mean_recall,mean_f1,sd_recall,min_recall,flat_mean_recall,flat_mean_f1,top10_weighted_mean_recall,top10_weighted_mean_f1,delta_recall_top10_weighted_vs_flat,delta_f1_top10_weighted_vs_flat,model
iotid_fine_lgbm_mi_top10_weighted,Mirai-Ackflooding,16537.0,0.28547881582303714,0.5671282578460423,0.379373392119281,0.047045812478909474,0.5030537582391001,0.2161032835459878,0.2250719541889447,0.5671282578460423,0.379373392119281,0.35102497430005447,0.1543014379303363,Top ten weighted LightGBM
iotid_fine_lgbm_xgb_validation_ensemble,Mirai-Ackflooding,16537.0,0.2851755973524711,0.5672129164902945,0.3791171791557476,0.04802616923802688,0.5030537582391001,0.2161032835459878,0.2250719541889447,0.5671282578460423,0.379373392119281,0.35102497430005447,0.1543014379303363,Validation controlled ensemble
iotid_fine_xgb_weighted,Mirai-Ackflooding,16537.0,0.28562227344284397,0.5340267279433997,0.3720065282578674,0.03132208734282202,0.4681018322549434,0.2161032835459878,0.2250719541889447,0.5671282578460423,0.379373392119281,0.35102497430005447,0.1543014379303363,Weighted XGBoost
iotid_fine_lgbm_full,Mirai-HTTP Flooding,16746.0,0.25553607522534605,0.24627970858712528,0.2496550653379753,0.04309483440806553,0.1716827899199809,0.24627970858712528,0.2496550653379753,0.2665711214618416,0.26481597225544434,0.020291412874716308,0.015160906917469047,Flat LightGBM
iotid_fine_lgbm_mi_top10_flat,Mirai-HTTP Flooding,16746.0,0.27091815305854583,0.2544010509972531,0.2608964238546655,0.04778722058283733,0.1975397109757554,0.24627970858712528,0.2496550653379753,0.2665711214618416,0.26481597225544434,0.020291412874716308,0.015160906917469047,Top ten flat LightGBM
iotid_fine_lgbm_mi_top10_weighted,Mirai-HTTP Flooding,16746.0,0.2655337911941151,0.2665711214618416,0.26481597225544434,0.04530440376213902,0.2007643616386002,0.24627970858712528,0.2496550653379753,0.2665711214618416,0.26481597225544434,0.020291412874716308,0.015160906917469047,Top ten weighted LightGBM
iotid_fine_lgbm_xgb_validation_ensemble,Mirai-HTTP Flooding,16746.0,0.26433373817123684,0.2644452406544846,0.26313403352777637,0.04492622824696554,0.2007643616386002,0.24627970858712528,0.2496550653379753,0.2665711214618416,0.26481597225544434,0.020291412874716308,0.015160906917469047,Validation controlled ensemble
iotid_fine_xgb_weighted,Mirai-HTTP Flooding,16746.0,0.2701733496807355,0.2977188582348023,0.28287702398765524,0.027049810927019254,0.2711095186910306,0.24627970858712528,0.2496550653379753,0.2665711214618416,0.26481597225544434,0.020291412874716308,0.015160906917469047,Weighted XGBoost
iotid_fine_lgbm_full,Mirai-Hostbruteforceg,36354.0,0.6580140537958626,0.7672993343235958,0.708444521390151,0.004663172063389911,0.7611817131539859,0.7672993343235958,0.708444521390151,0.5040848324806074,0.652565611952787,-0.26321450184298834,-0.055878909437364066,Flat LightGBM
iotid_fine_lgbm_mi_top10_flat,Mirai-Hostbruteforceg,36354.0,0.6559758269288485,0.7618418881003466,0.7049358763883488,0.005178567372803648,0.7503713484073279,0.7672993343235958,0.708444521390151,0.5040848324806074,0.652565611952787,-0.26321450184298834,-0.055878909437364066,Top ten flat LightGBM
iotid_fine_lgbm_mi_top10_weighted,Mirai-Hostbruteforceg,36354.0,0.9250764765959234,0.5040848324806074,0.652565611952787,0.0036869859305790446,0.4992022886064807,0.7672993343235958,0.708444521390151,0.5040848324806074,0.652565611952787,-0.26321450184298834,-0.055878909437364066,Top ten weighted LightGBM
iotid_fine_lgbm_xgb_validation_ensemble,Mirai-Hostbruteforceg,36354.0,0.9254805387130812,0.5038207625020631,0.652443200902929,0.003930227079236253,0.4978269241348957,0.7672993343235958,0.708444521390151,0.5040848324806074,0.652565611952787,-0.26321450184298834,-0.055878909437364066,Validation controlled ensemble
iotid_fine_xgb_weighted,Mirai-Hostbruteforceg,36354.0,0.9275727661101654,0.4861363261264235,0.6379287126539934,0.0029221379655977745,0.4816526379490565,0.7672993343235958,0.708444521390151,0.5040848324806074,0.652565611952787,-0.26321450184298834,-0.055878909437364066,Weighted XGBoost
iotid_fine_lgbm_full,Mirai-UDP Flooding,55066.0,0.7848047125669831,0.7681073620746014,0.7760922831424739,0.013356282434036566,0.7514800421312606,0.7681073620746014,0.7760922831424739,0.7037355173791451,0.8260757598220104,-0.06437184469545632,0.04998347667953651,Flat LightGBM
