bootstrap_id,baseline_macro_f1,ensemble_macro_f1,delta_macro_f1,baseline_balanced_accuracy,ensemble_balanced_accuracy,delta_balanced_accuracy,baseline_minority_recall,ensemble_minority_recall,delta_minority_recall,baseline_worst_class_recall,ensemble_worst_class_recall,delta_worst_class_recall
391,0.8605821292913453,0.8838302973594097,0.0232481680680644,0.8440017611673368,0.889043621417626,0.04504186025028922,0.1821561338289963,0.5130111524163569,0.33085501858736055,0.1821561338289963,0.5130111524163569,0.33085501858736055
392,0.8610578247891552,0.8815971082011014,0.02053928341194622,0.844100973113035,0.8857138680230959,0.04161289491006093,0.18705035971223022,0.5035971223021583,0.31654676258992803,0.18705035971223022,0.5035971223021583,0.31654676258992803
393,0.861591580295826,0.8834615606439289,0.021869980348102835,0.8454233067501978,0.8890782803926025,0.04365497364240467,0.17921146953405018,0.5519713261648745,0.37275985663082434,0.17921146953405018,0.5519713261648745,0.37275985663082434
394,0.8622000935584588,0.8828510932490191,0.02065099969056028,0.8452565980169785,0.8887692869298229,0.04351268891284443,0.20392156862745098,0.5215686274509804,0.31764705882352945,0.20392156862745098,0.5215686274509804,0.31764705882352945
395,0.8594592227538178,0.8801261596699529,0.02066693691613508,0.8432006191963682,0.8854810943070587,0.04228047511069044,0.1796875,0.45703125,0.27734375,0.1796875,0.45703125,0.27734375
396,0.8609308986838002,0.8835801155208064,0.02264921683700616,0.8442423881715881,0.8882200384234211,0.04397765025183298,0.18305084745762712,0.48135593220338985,0.2983050847457627,0.18305084745762712,0.48135593220338985,0.2983050847457627
397,0.8622757785117106,0.8826124521625967,0.020336673650886095,0.8458336599910796,0.8879245458704658,0.04209088587938614,0.2131782945736434,0.5038759689922481,0.29069767441860467,0.2131782945736434,0.5038759689922481,0.29069767441860467
398,0.8639133345486746,0.8829135693116695,0.01900023476299495,0.8470167162344483,0.8879674862719038,0.04095077003745551,0.24305555555555555,0.5381944444444444,0.29513888888888884,0.24305555555555555,0.5381944444444444,0.29513888888888884
399,0.8604597486138322,0.8825289178858504,0.022069169272018185,0.8442619115748518,0.8878274877787591,0.04356557620390733,0.18490566037735848,0.5018867924528302,0.31698113207547174,0.18490566037735848,0.5018867924528302,0.31698113207547174
400,0.8604276862176788,0.8828303556163345,0.02240266939865565,0.8440907432048658,0.888837851171245,0.04474710796637926,0.21132075471698114,0.5018867924528302,0.29056603773584905,0.21132075471698114,0.5018867924528302,0.29056603773584905
